Article URL,BEFORE,AFTER,Source,Date Updated,Notes
https://www.pantai.com.my/en/medical-specialties/neurology/vertigo-causes,"Ménière's disease: A disorder of the inner ear caused by fluid buildup, leading to episodes of vertigo, hearing loss, tinnitus (ringing in the ears), and a feeling of fullness in the ear.","Ménière's disease: A disorder of the inner ear caused by fluid buildup, leading to episodes of vertigo, hearing loss, tinnitus (ringing in the ears), and a feeling of fullness in the ear. A Malaysian study of patients at a specialized vestibular clinic in Kuantan, Pahang found Ménière's disease to be the third most common diagnosis, accounting for 5.8% (7 of 121) of cases, after benign paroxysmal positional vertigo and vestibular migraine.","Richard WKY, Zainal Abidin MH, Jamaluddin SA, et al | Balance Disorders: A Review of Patients at a Specialized Vestibular Clinic, IIUM Medical Journal Malaysia 2022 | https://journals.iium.edu.my/kom/index.php/imjm/article/download/1905/1297/10834",2026-09-14,"Replaces the global NIH/StatPearls prevalence figure with the same Malaysia-specific clinic study: Meniere's disease was the third most common cause of vertigo (5.8% of cases), verified directly from the primary-source PDF's results table."
https://www.pantai.com.my/en/medical-specialties/orthopaedic/sciatica,,"Low back pain, which sciatica often stems from, has been reported in anywhere from 12.4% to 84.6% of Malaysians across different population groups, according to a 2023 scoping review in the Malaysian Journal of Medical Sciences.","Prevalence and Risk Factors of Low Back Pain in Malaysia: A Scoping Review, Malaysian Journal of Medical Sciences (2023) | https://pmc.ncbi.nlm.nih.gov/articles/PMC10325122/",2026-09-14,New addition grounding the condition in local prevalence data (range reflects different Malaysian population/occupation groups).
https://www.pantai.com.my/en/medical-specialties/orthopaedic/sciatica,Sitting or standing for long periods.,"Sitting or standing for long periods. Occupations that demand this, such as nursing and driving, recorded low back pain rates of 67.9% and 65.7% respectively in that same Malaysian Journal of Medical Sciences review of local studies.","Prevalence and Risk Factors of Low Back Pain in Malaysia: A Scoping Review, Malaysian Journal of Medical Sciences (2023) | https://pmc.ncbi.nlm.nih.gov/articles/PMC10325122/",2026-09-14,Extends the existing trigger bullet with occupation-specific Malaysian data rather than replacing it.
https://www.pantai.com.my/en/medical-specialties/orthopaedic/sciatica,Being overweight.,"Being overweight. More than half of Malaysian adults, 54.4%, were classified as overweight or obese in the 2023 National Health and Morbidity Survey, up from 44.5% just over a decade earlier.","National Health and Morbidity Survey (NHMS) 2023, Malaysia | https://www.nature.com/articles/s41598-025-08311-9",2026-09-14,Extends the existing trigger bullet with a current national obesity trend statistic.
https://www.pantai.com.my/en/medical-specialties/gynaecology/menopause-signs,"The menopausal transition in females usually starts between the ages of 45 and 55, but it can happen earlier depending on the individual.","The menopausal transition in females usually starts between the ages of 45 and 55, but it can happen earlier depending on the individual. Malaysian studies put the average age of menopause among local women at between 49.9 and 50.7 years.",Malaysian Family Physician (2026) - Menopause matters: A community-based cross-sectional online survey among midlife women in Malaysia | https://pmc.ncbi.nlm.nih.gov/articles/PMC13355863/,2026-09-14,"Recent (2026) Malaysian community survey citing local mean menopause age range, adding to the generic 45-55 range."
https://www.pantai.com.my/en/medical-specialties/gynaecology/menopause-signs,"When menopausing, many women experience physical symptoms such as hot flashes, and often symptoms related to menopause may also interfere with your sleep, decrease your energy, or impact your emotional health.","When menopausing, many women experience physical symptoms such as hot flashes, and often symptoms related to menopause may also interfere with your sleep, decrease your energy, or impact your emotional health. A 2025 survey of more than 1,800 working women in Malaysia found joint pain (34.6%) and sleep disturbances (31.1%) to be the most frequently reported menopausal symptoms, followed by brain fog and mood swings.",Climacteric (2025) - Menopausal symptoms among multi-ethnic working women in Malaysia | https://www.tandfonline.com/doi/full/10.1080/13697137.2025.2507906,2026-09-14,"Large, current, multi-ethnic Malaysian working-women study giving concrete local symptom prevalence figures."
https://www.pantai.com.my/en/health-pulse/how-to-prevent-diabetes,,"In Malaysia, the National Health and Morbidity Survey (NHMS) 2023 found that 15.6% of adults, or roughly 3.6 million people, live with diabetes, among the highest rates in the region.","National Health and Morbidity Survey (NHMS) 2023, Institute for Public Health, Ministry of Health Malaysia | https://codeblue.galencentre.org/2024/05/over-two-million-adults-in-malaysia-live-with-three-ncds-nhms-2023/",2026-09-14,"Added to the opening paragraph to ground the condition in current, local prevalence data."
https://www.pantai.com.my/en/health-pulse/how-to-prevent-diabetes,Understanding these complications underscores the importance of preventing diabetes.,"Nearly two in five adults with diabetes in Malaysia do not even know they have it, the NHMS 2023 found, which makes early screening as important as prevention in avoiding these complications.","National Health and Morbidity Survey (NHMS) 2023, Institute for Public Health, Ministry of Health Malaysia | https://codeblue.galencentre.org/2024/05/over-two-million-adults-in-malaysia-live-with-three-ncds-nhms-2023/",2026-09-14,Reinforces the complications section with a concrete undiagnosed-rate figure motivating screening.
https://www.pantai.com.my/en/health-pulse/how-to-prevent-diabetes,"Pregnant women may also take steps to reduce their risk of gestational diabetes, a type that occurs during pregnancy.","Pregnant women may also take steps to reduce their risk of gestational diabetes, a type that occurs during pregnancy, and one whose prevalence in Malaysia more than doubled from 12.5% in 2016 to 27.1% in 2022.","Population-based study using NHMS data, published in BMC Public Health | https://pmc.ncbi.nlm.nih.gov/articles/PMC11451086/",2026-09-14,"Adds a verified, current Malaysia-specific gestational diabetes trend figure to the pregnancy section."
https://www.pantai.com.my/en/health-pulse/period-late-but-not-pregnant,PCOS or polycystic ovary syndrome is a hormonal disorder that can cause irregular periods or absent periods.,"PCOS or polycystic ovary syndrome is a hormonal disorder that can cause irregular periods or absent periods. A 2022 survey of women in Malaysia's Klang Valley found that 10.49% had been medically diagnosed with PCOS, making it one of the more common hormonal causes of a late period.","Assessment of prevalence, knowledge of PCOS among women in Klang Valley, Frontiers in Endocrinology (2022) | https://pmc.ncbi.nlm.nih.gov/articles/PMC9465311/",2026-09-14,Recent (2022) Malaysia-specific prevalence figure (n=410) adds a verifiable data point to a generic PCOS claim.
https://www.pantai.com.my/en/health-pulse/period-late-but-not-pregnant,,"Nearly half of unmarried Malaysian women aged 18 to 25 reported irregular menstrual cycles in a 2023 Kuala Lumpur survey, so occasional variation from a 28-day pattern is not unusual.","Assessment of prevalence, knowledge and health-related practices of dysmenorrhea among Malaysian women in Kuala Lumpur, Annals of Medicine (2023) | https://pmc.ncbi.nlm.nih.gov/articles/PMC10763855/",2026-09-14,"New addition grounding the 'common to vary' claim in local data (n=362, 51.9% reported regular cycles)."
https://www.pantai.com.my/en/health-pulse/period-late-but-not-pregnant,Late or missed periods could also be due to an overactive or underactive thyroid gland.,"Late or missed periods could also be due to an overactive or underactive thyroid gland. Thyroid disorders are common among women in general, with the American Thyroid Association estimating that about 1 in 8 women will develop a thyroid problem at some point in her lifetime.","American Thyroid Association, Awareness Toolkit | https://www.thyroid.org/patient-thyroid-information/awareness-toolkit/",2026-09-14,"FLAGGED: No current (within ~5 years) Malaysia-specific nationwide thyroid prevalence study was found; the only nationally representative Malaysian figure (MyENDO study, ~2017/2018) was judged too dated to cite confidently, so a well-established global ATA estimate was used instead."
https://www.pantai.com.my/en/health-pulse/prediabetes-care-management,,"This makes screening particularly important in Malaysia, where the National Health and Morbidity Survey 2023 found that 15.6% of adults already have diabetes, with more than a third of those cases previously undiagnosed until tested.","NHMS 2023 Fact Sheet, Institute for Public Health, Ministry of Health Malaysia | https://iku.nih.gov.my/images/nhms2023/fact-sheet-nhms-2023.pdf",2026-09-14,"Adds a concrete, current MOH-sourced statistic to the intro to underline why asymptomatic screening matters."
https://www.pantai.com.my/en/health-pulse/prediabetes-care-management,,"More than half of Malaysian adults, 54.4%, are overweight or obese according to that same 2023 survey, reflecting how common this particular risk factor has become nationwide.","NHMS 2023 Fact Sheet, Institute for Public Health, Ministry of Health Malaysia | https://iku.nih.gov.my/images/nhms2023/fact-sheet-nhms-2023.pdf",2026-09-14,"Attaches a current, verifiable local prevalence figure to the first-listed risk factor (overweight/obesity)."
https://www.pantai.com.my/en/health-pulse/prediabetes-care-management,,"A 2025 analysis of National Health and Morbidity Survey 2019 data found impaired fasting glucose, one of the criteria used to diagnose prediabetes, present in 22.6% of Malaysian adults.","PLOS ONE (2025), using NHMS 2019 data from the Institute for Public Health, Ministry of Health Malaysia | https://pmc.ncbi.nlm.nih.gov/articles/PMC12002514/",2026-09-14,"FLAGGED: No single official NHMS 2023 standalone 'prediabetes' percentage could be verified in the primary MOH/IKU fact sheet, so this narrower, peer-reviewed impaired-fasting-glucose figure was used instead of an unverifiable media-cited number."
https://www.pantai.com.my/en/health-pulse/gastric-pain-or-heart-problem,,"Ischaemic heart disease has been Malaysia's leading cause of death for years, responsible for 17,421 deaths, or 13% of all medically certified deaths, in 2024, according to the Department of Statistics Malaysia.","Department of Statistics Malaysia (DOSM) - Statistics on Causes of Death, Malaysia 2025 | https://www.dosm.gov.my/portal-main/release-content/statistics-on-causes-of-death-malaysia-2025",2026-09-14,Insert in the 'Understanding a Heart Attack' section to underline why correctly recognising symptoms matters.
https://www.pantai.com.my/en/health-pulse/gastric-pain-or-heart-problem,,"Nearly a third of Malaysian adults live with hypertension (29.2%) and high cholesterol (33.3%), two of the biggest risk factors for a heart attack, the 2023 National Health and Morbidity Survey found.","National Health and Morbidity Survey (NHMS) 2023, Institute for Public Health, Ministry of Health Malaysia | https://pmc.ncbi.nlm.nih.gov/articles/PMC12264187/",2026-09-14,Gives local risk-factor context for why chest pain shouldn't be dismissed as gastric pain.
https://www.pantai.com.my/ampang/en/news/a-faster-less-painful-way-to-treat-haemorrhoids,"Haemorrhoids, commonly referred to as piles, are swollen veins in the lower rectum and anus that cause discomfort, pain, and sometimes bleeding.","Haemorrhoids, commonly referred to as piles, are swollen veins in the lower rectum and anus that cause discomfort, pain, and sometimes bleeding. A 2025 systematic review pooling data from nearly 9 million people across 45 countries put the worldwide point prevalence of haemorrhoids at around 25.9%, underscoring just how common the condition really is.","Shirvani AE et al., Worldwide prevalence of haemorrhoids: a systematic review and meta-analysis, Annals of Medicine 2025 | https://doi.org/10.1080/07853890.2025.2606433",2026-09-14,"No reliable Malaysia-specific prevalence figure exists (same review's only Malaysia data point is a 120-person sample with 3 cases, too underpowered); large recent global meta-analysis used instead."
https://www.pantai.com.my/ampang/en/news/a-faster-less-painful-way-to-treat-haemorrhoids,"Prolonged sitting especially on the toilet: Your phone scrolling session might be longer than necessary, adding unnecessary pressure.","Prolonged sitting especially on the toilet: Your phone scrolling session might be longer than necessary, adding unnecessary pressure. Malaysian lorry drivers, whose jobs involve hours of prolonged sitting, had a haemorrhoid prevalence of 7.1% according to a 2022 Klang Valley study.","Farid MINA et al., A cross-sectional study on the prevalence of haemorrhoids among lorry drivers in Klang valley, Malaysia, International Journal of Health Sciences 2022 | https://doi.org/10.53730/ijhs.v6nS7.13102",2026-09-14,Small sample (n=70) but a genuine Malaysia-specific occupational study tying prolonged sitting to haemorrhoid prevalence.
https://www.pantai.com.my/ampang/en/news/a-faster-less-painful-way-to-treat-haemorrhoids,"Since the laser seals blood vessels instantly, excessive bleeding is less of a concern.","Since the laser seals blood vessels instantly, excessive bleeding is less of a concern. Postoperative bleeding after laser haemorrhoidoplasty occurred in about a quarter of patients in a 2022 Universiti Malaya Medical Centre trial, though severe bleeding needing further treatment occurred in under 8% of cases.","Lim SY, Rajandram R, Roslani AC, BMC Surgery 2022;22:146 | https://doi.org/10.1186/s12893-022-01594-z",2026-09-14,"Malaysia-specific RCT (Universiti Malaya) gives the bleeding claim a concrete, verifiable figure."
https://www.pantai.com.my/en/medical-specialties/nephrology/kidney-failure,The two primary causes are diabetes and high blood pressure.,"The two primary causes are diabetes and high blood pressure, with diabetes responsible for 56% of new dialysis cases in Malaysia in 2023, based on the National Renal Registry's Malaysian Dialysis and Transplant Registry report.","National Renal Registry Malaysia, 31st Report of the Malaysian Dialysis and Transplant Registry 2023 | https://msn.org.my/nrr/wp-content/uploads/2024/12/FinalChapter-2_HooiChoo-Najdah-Jasmine-v2_ong28-Oct-2024_v5.pdf",2026-09-14,Different angle from the hypertension stat used in the blood-pressure article; pinpoints diabetes as leading cause.
https://www.pantai.com.my/en/medical-specialties/nephrology/kidney-failure,,"More than 53,000 people were undergoing dialysis in Malaysia at the end of 2023, National Renal Registry figures show.","National Renal Registry Malaysia, 31st Report of the Malaysian Dialysis and Transplant Registry 2023 | https://msn.org.my/nrr/wp-content/uploads/2024/12/FinalChapter-2_HooiChoo-Najdah-Jasmine-v2_ong28-Oct-2024_v5.pdf",2026-09-14,"Gives the vague 'requires dialysis or transplant' claim a concrete, current scale."
https://www.pantai.com.my/en/medical-specialties/nephrology/kidney-failure,,"A 2024 analysis published in the journal Kidney360 found Malaysia ranks sixth globally for the prevalence of treated kidney failure, at 1,584 cases per million population.","Global Perspective on Kidney Transplantation in Malaysia, Kidney360 (July 2024) | https://pmc.ncbi.nlm.nih.gov/articles/PMC11371342/",2026-09-14,"Peer-reviewed, current data point on disease burden for the overview section."
https://www.pantai.com.my/en/medical-specialties/haematology/low-haemoglobin,,"A 2026 nationwide study by Malaysia's Institute for Public Health found that anaemia affects about 15% of Malaysian adults, or an estimated 3.6 million people.","Wan et al., The nationwide prevalence of anaemia and the associated factors in the general adult population in Malaysia, BMC Public Health (2026) | https://pmc.ncbi.nlm.nih.gov/articles/PMC13191857/",2026-09-14,"Concrete, current national prevalence figure from IKU/MOH data."
https://www.pantai.com.my/en/medical-specialties/haematology/low-haemoglobin,,"The same national data show anaemia is far more common among women, affecting about one in four (25.5%), compared with roughly one in twenty men (5.5%).","Wan et al., The nationwide prevalence of anaemia and the associated factors in the general adult population in Malaysia, BMC Public Health (2026) | https://pmc.ncbi.nlm.nih.gov/articles/PMC13191857/",2026-09-14,Explains sex disparity with verifiable local figure.
https://www.pantai.com.my/en/medical-specialties/orthopaedic/plantar-fasciitis,,"Excess weight is a major contributor to this risk locally, as more than half of Malaysian adults (54.4%) were classified as overweight or obese in the Ministry of Health's National Health and Morbidity Survey (NHMS) 2023.","National Health and Morbidity Survey (NHMS) 2023, Institute for Public Health, Ministry of Health Malaysia | https://codeblue.galencentre.org/2024/05/nhms-2023-over-half-of-malaysian-adults-overweight-or-obese/",2026-09-14,Adds current MOH stat to the 'Excess weight' risk factor bullet
https://www.pantai.com.my/en/medical-specialties/orthopaedic/plantar-fasciitis,,"Diabetes prevalence has also climbed among Malaysian adults, reaching 15.6% (about 3.6 million people) in the same 2023 national survey, which is one reason Type 2 Diabetes is flagged as a risk factor here.","National Health and Morbidity Survey (NHMS) 2023, Institute for Public Health, Ministry of Health Malaysia | https://codeblue.galencentre.org/2024/05/over-two-million-adults-in-malaysia-live-with-three-ncds-nhms-2023/",2026-09-14,Adds current MOH stat to the 'Type 2 Diabetes' risk factor bullet
https://www.pantai.com.my/en/medical-specialties/orthopaedic/plantar-fasciitis,"""Most people with plantar fasciitis recover within a year,"" regardless of whether they receive specific treatment.","""Most people with plantar fasciitis recover within a year,"" regardless of whether they receive specific treatment. Globally, the condition develops in around 10% of the general population at some point, most often between the ages of 40 and 60, according to the US National Institutes of Health's StatPearls clinical reference.",StatPearls (National Institutes of Health / National Library of Medicine) | https://www.ncbi.nlm.nih.gov/books/NBK431073/,2026-09-14,No Malaysia-specific general-population prevalence study for plantar fasciitis was found; used a current NIH reference as fallback
https://www.pantai.com.my/en/medical-specialties/dermatology/shingles,,"Malaysia's population aged 60 and above climbed to 11.6% in 2024 and is projected to exceed 15% by 2030, per the Department of Statistics Malaysia, expanding the share of people at higher risk of shingles as they age.","Department of Statistics Malaysia (DOSM), Current Population Estimates, Malaysia 2024 | https://www.dosm.gov.my/portal-main/release-content/current-population-estimates-by-administrative-district-2024",2026-09-14,"Adds concrete, current local data to the vague 'ageing' risk factor bullet."
https://www.pantai.com.my/en/medical-specialties/dermatology/shingles,,"Around 85,000 people in Malaysia are living with HIV according to Ministry of Health estimates, a population in whom weakened immunity raises both the risk and severity of shingles.","Ministry of Health Malaysia, HIV/STI Section (via Malaysian AIDS Council HIV Data, 2023) | https://mac.org.my/v4/hiv-data/",2026-09-14,Grounds the 'HIV/AIDS' immunocompromised risk factor with a current national figure.
https://www.pantai.com.my/en/medical-specialties/dermatology/shingles,Vaccines are recommended to prevent shingles and its related complications.,"In Malaysia, the recombinant zoster vaccine is recommended for adults aged 50 and above, including those who have already had shingles, to prevent the condition and its complications.","San Martin P, et al. Systematic Literature Review of Herpes Zoster Disease Burden in Southeast Asia. Infect Dis Ther. 2023 | https://pubmed.ncbi.nlm.nih.gov/37314653/",2026-09-14,Replaces vague vaccine sentence with Malaysia's specific age-based recommendation.
https://www.pantai.com.my/ipoh/en/news/thyroid-diseases,,"Thyroid cancer is now the eighth most common cancer among women in Malaysia, with an age-standardised incidence rate of 4.2 per 100,000, according to the Malaysia National Cancer Registry Report 2017-2021.","Malaysia National Cancer Registry Report 2017-2021, National Cancer Institute, Ministry of Health Malaysia | https://nci.moh.gov.my/images/pdf_folder/SUMMARY-OF-MALAYSIA-NATIONAL-CANCER-REGISTRY-REPORT-2017-2021.pdf",2026-09-14,Verified directly from source PDF; report released July 2024.
https://www.pantai.com.my/ipoh/en/news/thyroid-diseases,,"A 2025 online survey of Malaysian adults found that although most had heard of thyroid cancer, only 61.6% showed good knowledge of the disease, underlining the value of regular thyroid check-ups for early detection.","Factors associated with public awareness and knowledge on thyroid cancer in Malaysia, Discover Public Health (2025) | https://link.springer.com/article/10.1186/s12982-026-01669-9",2026-09-14,Survey fielded Nov 2024-Mar 2025 among Malaysian adults (n=219).
https://www.pantai.com.my/en/medical-specialties/gynaecology/vulvitis,It is common and affects women of all ages.,"A University Malaya survey of 1,446 Malaysian women aged 18 to 50 found that nearly one in three (32.1%) had experienced vaginitis, a closely related genital condition, underscoring how common such inflammation is locally.","Journal of Obstetrics and Gynaecology (University Malaya national survey, 2018) | https://doi.org/10.1080/01443615.2017.1405923",2026-09-14,"Nationally representative Malaysian survey measuring the related condition vaginitis, since no vulvitis-only Malaysia figure exists."
https://www.pantai.com.my/en/medical-specialties/gynaecology/vulvitis,"Infections caused by bacteria or fungi, including yeast infection and pubic lice.","Infections caused by bacteria or fungi, including yeast infection and pubic lice. Yeast infection (vulvovaginal candidiasis) is estimated to affect close to 23% of women across Southeast Asia, based on a 2024 regional meta-analysis of the available studies.","SciEnggJ systematic review and meta-analysis (Falcon et al., 2024) | https://doi.org/10.54645/202417SupPYD-19",2026-09-14,No current Malaysia-specific prevalence data for vulvovaginal candidiasis found (only an old 2003 strain-typing study); closest current regional estimate used instead.
